book_id,book_title,authors,tag_count,tags,blurb,text,cluster
26872047,Caminando por valles oscuros: Memorias de un jesuita en el Gulag (Arcaduz nº 120) (Spanish Edition),Walter J. Ciszek,30,"abandonment-in-god, biography, catholic, chełmińska, communism, conversions, death, faith, favorites, humility, loneliness, love, memoir, miex, monks, nonfiction, overcoming, poland, prayer, psichology, recommended, religion, russia, selfhelp, spirituality, suffering, testimonies, theology, war, world-war","Walter Ciszek, jesuita norteamericano, entró en Rusia junto con otras 25 personas en el vagón 89725, procedente de la ciudad polaca de Al'Bertin que había sido tomada por el ejército rojo. Su objetivo, difundir la palabra de Dios en Rusia. Pero al poco tiempo de establecerse en la ciudad maderera de Teplaya Gora fue descubierto y detenido por la policía secreta. Acusado de espionaje fue trasladado a la temida prisión moscovita de Lubianka, donde permaneció durante los años de la Segunda Guerra Mundial para ser condenado posteriormente a 15 años de trabajos forzados en los campos de prisioneros de Siberia. Finalmente, en 1963, fue intercambiado por dos espías rusos y pudo volver a Estados Unidos.<br /><br />En el libro, él mismo nos desvela la razón de su supervivencia -el total abandono a la voluntad de Dios- y da testimonio de su vida de oración, gracias a la cual venció la soledad, el dolor, el miedo y la desesperación, y aprendió a convertir unas circunstancias y un trabajo inhumanos en un valor positivo que le acercaba a Dios.<br />En 1990 se abrió su proceso de beatificación, siendo actualmente Siervo de Dios.<br /><br />""Un extraordinario testimonio de fe <br />del que todos podemos sacar partido""<br />The Sign<br /><br />""El relato íntimo y profundamente conmovedor de una fe <br />y una esperanza inquebrantables que nunca llegaron <br />a desfallecer, y de un amor que -como el de Cristo- <br />se extendió también a quienes le perseguían""<br />Catholic Review<br /><br />Walter Ciszek (1904-1984) fue un sacerdote norteamericano de origen polaco, perteneciente a la Compañía <br />de Jesús. Entró en el noviciado jesuita en 1928, y, siguiendo la petición de Pío IX de que fueran sacerdotes a Rusia después de la Revolución Bolchevique, solicitó ir a este país. En 1934 fue enviado a Roma para estudiar liturgia y teología rusa en el ""Russicum"", y en 1937 fue ordenado sacerdote por el rito bizantino con el nombre de Vladimir. De allí fue enviado a la misión polaca de Al'Bertin, desde donde entró en Rusia clandestinamente, como relata este libro. Después de su liberación se dedicó a su trabajo sacerdotal y fue profesor en el Centro de Estudios Orientales Juan XXIII de Fordham University.<br /><br />Daniel L. Flaherty fue un amigo y colaborador que le ayudó en la tarea de redactar sus memorias.","Caminando valles oscuros: Memorias jesuita Gulag (Arcaduz nº 120) (Spanish Edition). Walter Ciszek, jesuita norteamericano, entró Rusia junto 25 personas vagón 89725, procedente ciudad polaca Al'Bertin sido tomada ejército rojo. objetivo, difundir palabra Dios Rusia. tiempo establecerse ciudad maderera Teplaya Gora descubierto detenido policía secreta. Acusado espionaje trasladado temida prisión moscovita Lubianka, permaneció años Segunda Guerra Mundial ser condenado posteriormente 15 años trabajos forzados campos prisioneros Siberia. Finalmente, 1963, intercambiado dos espías rusos pudo volver Unidos.<br /><br />En libro, mismo desvela razón supervivencia -el total abandono voluntad Dios- testimonio vida oración, gracias venció soledad, dolor, miedo desesperación, aprendió convertir unas circunstancias trabajo inhumanos valor positivo acercaba Dios.<br />En 1990 abrió proceso beatificación, siendo actualmente Siervo Dios.<br /><br />""Un extraordinario testimonio fe <br />del podemos sacar partido""<br />The Sign<br /><br />""El relato íntimo profundamente conmovedor fe <br />y esperanza inquebrantables nunca llegaron <br />a desfallecer, amor -como Cristo- <br />se extendió perseguían""<br />Catholic Review<br /><br />Walter Ciszek (1904-1984) sacerdote norteamericano origen polaco, perteneciente Compañía <br />de Jesús. Entró noviciado jesuita 1928, y, siguiendo petición Pío IX sacerdotes Rusia después Revolución Bolchevique, solicitó ir país. 1934 enviado Roma estudiar liturgia teología rusa ""Russicum"", 1937 ordenado sacerdote rito bizantino nombre Vladimir. allí enviado misión polaca Al'Bertin, entró Rusia clandestinamente, relata libro. Después liberación dedicó trabajo sacerdotal profesor Centro Estudios Orientales Juan XXIII Fordham University.<br /><br />Daniel L. Flaherty amigo colaborador ayudó tarea redactar memorias.",2
18968737,The Return of the Prodigal Son: A Story of Homecoming,Henri J.M. Nouwen,28,"_pilar, _sindy, abandonment-in-god, anxiety, art, catholic, christ, depression, emotional-relationships, faith, forgiveness, lent, libricos, light-reading, netherlands, new-testament, nonfiction, painting, parable-of-the-prodigal-son, parables, paradigms, religion, restart, retirement, selfesteem, selfhelp, spirituality, theology","<p>A chance encounter with a reproduction of Rembrandt's <i>The Return of the Prodigal Son</i> catapulted Henri Nouwen on a long spiritual adventure. Here he shares the deeply personal and resonant meditation that led him to discover the place within where God has chosen to dwell.<br /><br />In seizing the inspiration that came to him through Rembrandt's depiction of the powerful Gospel story, Henri Nouwen probes the several movements of the parable: the younger son's return, the father's restoration of sonship, the elder son's vengefulness, and the father's compassion. In his reflection on Rembrandt in light of his own life journey, the author evokes a powerful drama of the parable in a rich, capativating way that is sure to reverberate in the hearts of readers. The themes of homecoming, affirmation, and reconciliation will be newly discovered by all who have known loneliness, dejection, jealousy, or anger. The challenge to love as the father and be loved as the son will be seen as the ultimate revelation of the parable known to Christians throughout time, and here represented with a vigor and power fresh for our times.<br /><br />For all who ask, ""Where has my struggle led me?"" or for those ""on the road"" who have had the courage to embark on the journey but seek the illumination of a known way and safe passage, this work will inspire and guide each time it is read.<br /><br /><br />""<i>The Return of the Prodigal Son</i> is a beautiful book, as beautiful in the simple clarity of its wisdom as in the terrible beauty of the transformation to which it calls us."" --New Oxford Review</p>","Return Prodigal Son: Story Homecoming. <p>A chance encounter reproduction Rembrandt's <i>The Return Prodigal Son</i> catapulted Henri Nouwen long spiritual adventure. shares deeply personal resonant meditation led discover place within God chosen dwell.<br /><br />In seizing inspiration came Rembrandt's depiction powerful Gospel story, Henri Nouwen probes several movements parable: younger son's return, father's restoration sonship, elder son's vengefulness, father's compassion. reflection Rembrandt light life journey, author evokes powerful drama parable rich, capativating way sure reverberate hearts readers. themes homecoming, affirmation, reconciliation newly discovered known loneliness, dejection, jealousy, anger. challenge love father loved seen ultimate revelation parable known Christians throughout time, represented vigor power fresh times.<br /><br />For ask, ""Where struggle led me?"" ""on road"" courage embark journey seek illumination known way safe passage, work inspire guide time read.<br /><br /><br />""<i>The Return Prodigal Son</i> beautiful book, beautiful simple clarity wisdom terrible beauty transformation calls us."" --New Oxford Review</p>",3
57132719,Liberado: Una Guía Práctica para la Liberación,Neal Lozano,28,"catholic, chełmińska, christ, christianity, demons, devotional, emotional-relationships, faith, favorites, forgiveness, freedom, friendship, grief, healing, holy-spirit, libricos, loneliness, love, nonfiction, parable-of-the-prodigal-son, parables, prayer, recommended, restart, selfhelp, spirituality, suffering, usa","A pesar de nuestros mejores esfuerzos, muchos de nosotros luchamos con patrones pecaminosos de pensamiento y comportamiento. Nuestra falta de libertad nos deja sin esperanza. El autor Neal Lozano nos muestra cómo aplicar el poder del evangelio que nos libera. En Liberado, descubrirás las llaves a tu libertad. Neal presenta una estrategia para superar las tácticas del Enemigo y descubrir la libertad en el amor del Padre. Equilibrado y esperanzado, Liberado te ayudará a comenzar a vivir la vida abundante y gloriosa que Dios tiene en mente para ti.","Liberado: Guía Práctica Liberación. pesar mejores esfuerzos, luchamos patrones pecaminosos pensamiento comportamiento. falta libertad deja esperanza. autor Neal Lozano muestra cómo aplicar poder evangelio libera. Liberado, descubrirás llaves libertad. Neal presenta estrategia superar tácticas Enemigo descubrir libertad amor Padre. Equilibrado esperanzado, Liberado ayudará comenzar vivir vida abundante gloriosa Dios mente ti.",3
25239369,El Abandono en la Divina Providencia: Clásicos Católicos,Jean-Pierre de Caussade,27,"abandonment-in-god, catholic, christ, classics, death, devotional, eternity, faith, favorites, heart, holiness, holy-spirit, humility, mental-health, miex, nonfiction, obedience, perspectives, present, religion, selfhelp, silence, simplicity, spirituality, suffering, theology, vocation","Esta breve obra se compone de cartas escritas por un eclesiástico a la superiora de una comunidad religiosa. En ella se ve claro que el autor fue un hombre espiritual, interior y gran amigo de Dios. Él descubre en sus cartas, aquí abreviadas a veces, el verdadero método, el más corto y realmente el único para llegar a Dios. Feliz aquél que reciba fielmente estas lecciones. Los pecadores encontrarán cómo redimir sus pecados, expiando las acciones cumplidas por su propia voluntad, por la adhesión única a la voluntad de Dios. Y los justos comprobarán que, con muy poco esfuerzo y trabajo en sus ocupaciones y quehaceres, podrán llegar muy pronto a un alto grado de perfección y a una eminente santidad. No es otro el fin que aquí se pretende sino la mayor gloria de Dios y la santificación del lector","Abandono Divina Providencia: Clásicos Católicos. breve obra compone cartas escritas eclesiástico superiora comunidad religiosa. claro autor hombre espiritual, interior gran amigo Dios. descubre cartas, aquí abreviadas veces, verdadero método, corto realmente único llegar Dios. Feliz aquél reciba fielmente lecciones. pecadores encontrarán cómo redimir pecados, expiando acciones cumplidas propia voluntad, adhesión única voluntad Dios. justos comprobarán que, esfuerzo trabajo ocupaciones quehaceres, podrán llegar pronto alto grado perfección eminente santidad. fin aquí pretende sino mayor gloria Dios santificación lector",3
40237158,Una familia de bandidos en 1793,,26,"adventures, atheism, biography, catholic, church-history, civil-war, communism, europe, faith, family, france, freedom, genocides, history, ideologies, jesuits, martyrdom, memoir, monarchies, nonfiction, paris, revolutions, sacred-heart-of-christ, testimonies, to-read, war","Resulta difícil no emocionarse varias veces al sumergirse en esta narración -a medio camino entre la novela de aventuras y el relato autobiográfico-, atribuida en un principio a Jean Chaurrau, el jesuita que la llevó a la imprenta. Sin embargo, en las últimas ediciones francesas es más común, y más justo, encontrar el nombre de María de Sainte-Hèrmine como autora. Ella misma explica en las primeras páginas el objetivo que le movió a escribirla: dar a conocer a sus descendientes los beneficios con los que Dios ha colmado a su familia “beneficios amargos, sin duda, pero preciosos a la vez”. Es uno de sus nietos quien entrega el manuscrito a Chaurrau con la autorización para publicarlo. <br />El conmovedor testimonio de Sainte-Hèrmine nos muestra el Terror de la revolución más allá de la conocida barbarie parisina, porque los cantores de La Marsellesa también perpetraron el primer genocidio moderno, masacrando a toda una región que se resistía a convertirse en esclava de las nuevas ideas. El episodio se llama la Guerra de Vandea (la Vendée) tomando el nombre de la región insurrecta, y “bandidos” llamaron a aquellos nobles y campesinos que se bordaron en las camisas el Sagrado Corazón con una divisa antigua, Dios y el Rey, es decir, lo más proscrito de la Francia revolucionaria. Este libro es la terrible historia de una familia de aquellos memorables bandidos. <br /> <br />","familia bandidos 1793. Resulta difícil emocionarse varias veces sumergirse narración -a medio camino novela aventuras relato autobiográfico-, atribuida principio Jean Chaurrau, jesuita llevó imprenta. embargo, últimas ediciones francesas común, justo, encontrar nombre María Sainte-Hèrmine autora. misma explica primeras páginas objetivo movió escribirla: dar conocer descendientes beneficios Dios colmado familia “beneficios amargos, duda, preciosos vez”. nietos entrega manuscrito Chaurrau autorización publicarlo. <br />El conmovedor testimonio Sainte-Hèrmine muestra Terror revolución allá conocida barbarie parisina, cantores Marsellesa perpetraron primer genocidio moderno, masacrando toda región resistía convertirse esclava nuevas ideas. episodio llama Guerra Vandea (la Vendée) tomando nombre región insurrecta, “bandidos” llamaron aquellos nobles campesinos bordaron camisas Sagrado Corazón divisa antigua, Dios Rey, decir, proscrito Francia revolucionaria. libro terrible historia familia aquellos memorables bandidos. <br /> <br />",2
397061,I Believe in God: A Meditation on the Apostles' Creed,Paul Claudel,25,"005-ladder-maybe-someday, apostles, catholic, christ, classics, conversions, creation, creed, dogmas, faith, france, god-exists, humor, joy, meditations, misticism, not-available-on-kindle, poetry, redemption, saint-thomas-aquinas, spirituality, testimonies, theology, to-read, virgin-mary","This classic work by the great French poet and writer Paul Claudel is a soaring meditation on the profound Christian truths of the Apostles' Creed. Claudel, a deeply spiritual Catholic poet who meditated at length on what the Church taught him, is filled with ecstasy and wonder as he celebrates his faith, his hope, and his love. The reader will be captivated by the profundity of thought, the enthusiastic faith, the deep sense of joy, the fresh and vivid images, occasionally tinged with a delightful humor that is unforgettable. Claudel marvels at the goodness and love of God, at his work of creation and redemption, and at Christ and the Blessed Virgin. Along with Claudel's meditations and mystical insights, each chapter includes a brief statement of doctrine based on the Summa of St. Thomas and the Catechism, along with a few explanatory words showing the relation of this theology to Claudel's poetry.","Believe God: Meditation Apostles' Creed. classic work great French poet writer Paul Claudel soaring meditation profound Christian truths Apostles' Creed. Claudel, deeply spiritual Catholic poet meditated length Church taught him, filled ecstasy wonder celebrates faith, hope, love. reader captivated profundity thought, enthusiastic faith, deep sense joy, fresh vivid images, occasionally tinged delightful humor unforgettable. Claudel marvels goodness love God, work creation redemption, Christ Blessed Virgin. Along Claudel's meditations mystical insights, chapter includes brief statement doctrine based Summa St. Thomas Catechism, along explanatory words showing relation theology Claudel's poetry.",3
19234364,Un paseo para recordar,Nicholas Sparks,24,"_natalia, adolescence, animals, care, christianity, contemporary, courtship, drama, emotional-relationships, faith, fiction, gratitude, heart, illness, love, maturity, miex, romance, seeing-the-invisible, shyness, to-read, volunteering, widowhood, women","Un clásico de Sparks a la altura de El cuaderno de Noah o de Mensaje en una botella.Cada mes de abril, cuando el viento sopla desde el mar y se mezcla con el aroma de las lilas, Landon Carter recuerda su último año en el instituto Beaufort. Era 1958 y Landon ya había tenido una o dos novias. Juraba incluso, que ya se había enamorado. Desde luego, la última persona de la que se imaginó que lo haría era Jamie Sullivan, la hija del pastor baptista del pueblo. Jamie era una chica callada, que siempre llevaba la Biblia entre sus libros para el colegio, y que parecía contenta viviendo en un mundo aparte del resto de los adolescentes: cuidaba de su padre viudo, rescataba animales abandonados y era voluntaria en el orfanato. Ningún chico le había pedido una cita jamás. Landon nunca hubiera imaginado hacerlo. Sin embargo, un giro del destino hizo que Jamie se convirtiera en la pareja de Landon para el baile. Y desde ese momento, la vida del chico cambiaría para siempre. Estar con Jamie le enseñó las profundidades del corazón humano y le llevó a tomar una decisión asombrosa que marcaría el comienzo de su madurez.","paseo recordar. clásico Sparks altura cuaderno Noah Mensaje botella.Cada abril, viento sopla mar mezcla aroma lilas, Landon Carter recuerda último año instituto Beaufort. 1958 Landon dos novias. Juraba incluso, enamorado. luego, última persona imaginó haría Jamie Sullivan, hija pastor baptista pueblo. Jamie chica callada, siempre llevaba Biblia libros colegio, parecía contenta viviendo mundo aparte resto adolescentes: cuidaba padre viudo, rescataba animales abandonados voluntaria orfanato. Ningún chico pedido cita jamás. Landon nunca imaginado hacerlo. embargo, giro destino hizo Jamie convirtiera pareja Landon baile. momento, vida chico cambiaría siempre. Jamie enseñó profundidades corazón humano llevó tomar decisión asombrosa marcaría comienzo madurez.",1
35082856,Jesus and the Eyewitnesses: The Gospels as Eyewitness Testimony,Richard Bauckham,23,"003-ladder-medium-term, anglicanism, apostles, award-winning, bible, christ, christianity, church-history, exegesis, faith, gospels, history, israel, lent, new-testament, nonfiction, patristics, rating-top, recommended, testimonies, theology, to-read, witnesses","This new book argues that the four Gospels are closely based on eyewitness testimony of those who knew Jesus. Noted New Testament scholar Richard Bauckham challenges the prevailing assumption that the accounts of Jesus circulated as ""anonymous community traditions,"" asserting instead that they were transmitted in the name of the original eyewitnesses. To drive home this controversial point, Bauckham draws on internal literary evidence, study of personal names in the first century, and recent developments in the understanding of oral traditions. <p>Jesus and the Eyewitnesses also taps into the rich resources of modern study of memory and cognitive psychology, refuting the conclusions of the form critics and calling New Testament scholarship to make a clean break with this long-dominant tradition. Finally, Bauckham challenges readers to end the classic division between the ""historical Jesus"" and the ""Christ of faith,"" proposing instead the ""Jesus of testimony."" Sure to ignite heated debate on the precise character of the testimony about Jesus, Jesus and the Eyewitnesses will be valued by scholars, students, and all who seek to understand the origins of the Gospels.</p>","Jesus Eyewitnesses: Gospels Eyewitness Testimony. new book argues four Gospels closely based eyewitness testimony knew Jesus. Noted New Testament scholar Richard Bauckham challenges prevailing assumption accounts Jesus circulated ""anonymous community traditions,"" asserting instead transmitted name original eyewitnesses. drive home controversial point, Bauckham draws internal literary evidence, study personal names first century, recent developments understanding oral traditions. <p>Jesus Eyewitnesses also taps rich resources modern study memory cognitive psychology, refuting conclusions form critics calling New Testament scholarship make clean break long-dominant tradition. Finally, Bauckham challenges readers end classic division ""historical Jesus"" ""Christ faith,"" proposing instead ""Jesus testimony."" Sure ignite heated debate precise character testimony Jesus, Jesus Eyewitnesses valued scholars, students, seek understand origins Gospels.</p>",3
46264376,El arte de recomenzar,,23,"abandonment-in-god, art-of, bible, catholic, discernment, everyday-life, favorites, hope, italy, libricos, light-reading, limits, mental-health, old-testament, paradigms, practical, psichology, rating-top, restart, selfhelp, spirituality, suffering, theology","<b>Este libro demuestra que recomenzar es posible.</b><p>Es cierto que no es fácil, pues se trata de un arte que exige humildad y unos pies que caminen en la realidad.</p><p>Rosini introduce al lector en este arte, siguiendo los seis días del relato de la creación.</p><p>Se conjuga así la Palabra de Dios con nuestra propia vida, que a menudo necesita una nueva creación que reconstruya la propia existencia.</p>","arte recomenzar. <b>Este libro demuestra recomenzar posible.</b><p>Es cierto fácil, pues trata arte exige humildad pies caminen realidad.</p><p>Rosini introduce lector arte, siguiendo seis días relato creación.</p><p>Se conjuga así Palabra Dios propia vida, menudo necesita nueva creación reconstruya propia existencia.</p>",1
33290624,Los Cantos de Jesús: Un año de devocionales diarios en Los Salmos,Timothy J. Keller,23,"bible, christ, christianity, comfort, death, devotional, faith, meditations, music, nonfiction, old-testament, ordinary-life, overcoming, prayer, psalms, rating-number-top, rating-top, religion, spirituality, suffering, tenacity, theology, to-read","Es difícil separar un tiempo cada día para orar y meditar en la Palabra de Dios. Y cuando sí lo hacemos, sentimos una atracción especial hacia Los Salmos. Allí encontramos el libro de canciones de la Biblia. ¿Sabías que Jesús cantaba Los Salmos en Su vida diaria? <b>Él conoció los 150 Salmos íntimamente y los recordaba para enfrentar cada situación, incluyendo Su muerte.</b> <br /> <br />Hace dos décadas, Tim Keller empezó la práctica de leer todos los Salmos cada mes. <i>Los Cantos de Jesús</i> es el fruto de años de estudio, discernimiento e inspiración anotados en sus cuadernos de oración. Kathy Keller aprendió a orar Los Salmos durante un tiempo de enfermedad prolongada. Juntos, Tim y Kathy han destilado el énfasis de cada pasaje, invitándonos a meditar en la gran sabiduría contenida en Los Salmos. <br /> <br />Si no tienes una vida devocional diaria todavía, este libro puede ayudarte a comenzar. Si ya pasas tiempo estudiando la Biblia y orando cada día, <i>Los Cantos de Jesús</i> te mostrará profundidades en Los Salmos que probablemente no habías visto con el propósito de llevarte a tener una relación más íntima con Dios.","Cantos Jesús: año devocionales diarios Salmos. difícil separar tiempo cada día orar meditar Palabra Dios. hacemos, sentimos atracción especial hacia Salmos. Allí encontramos libro canciones Biblia. ¿Sabías Jesús cantaba Salmos vida diaria? <b>Él conoció 150 Salmos íntimamente recordaba enfrentar cada situación, incluyendo muerte.</b> <br /> <br />Hace dos décadas, Tim Keller empezó práctica leer Salmos cada mes. <i>Los Cantos Jesús</i> fruto años estudio, discernimiento inspiración anotados cuadernos oración. Kathy Keller aprendió orar Salmos tiempo enfermedad prolongada. Juntos, Tim Kathy destilado énfasis cada pasaje, invitándonos meditar gran sabiduría contenida Salmos. <br /> <br />Si vida devocional diaria todavía, libro puede ayudarte comenzar. pasas tiempo estudiando Biblia orando cada día, <i>Los Cantos Jesús</i> mostrará profundidades Salmos probablemente visto propósito llevarte tener relación íntima Dios.",3
